Symbol: CWN.AX,,,,,,Study: VOL,
Date Time,Open,High,Low,Close,Change,Volume,Open Interest
4/04/2022 10:00,12.78,12.8,12.76,12.78,-0.02,292701,
4/04/2022 11:00,12.77,12.78,12.76,12.77,-0.01,92053,
4/04/2022 12:00,12.77,12.79,12.77,12.78,0.01,92460,
4/04/2022 13:00,12.78,12.81,12.78,12.79,0.01,166077,
4/04/2022 14:00,12.79,12.81,12.78,12.78,-0.01,288314,
4/04/2022 15:00,12.79,12.81,12.79,12.8,0.02,246877,
4/04/2022 16:00,12.8,12.8,12.79,12.79,-0.01,272732,
5/04/2022 10:00,12.8,12.85,12.8,12.85,0.06,254520,
5/04/2022 11:00,12.845,12.855,12.82,12.83,-0.02,450708,
5/04/2022 12:00,12.84,12.85,12.82,12.83,0,159720,
5/04/2022 13:00,12.83,12.84,12.83,12.83,0,61808,
5/04/2022 14:00,12.83,12.86,12.83,12.84,0.01,104147,
5/04/2022 15:00,12.84,12.84,12.82,12.84,0,357830,
5/04/2022 16:00,12.85,12.85,12.85,12.85,0.01,113798,
6/04/2022 10:00,12.79,12.84,12.79,12.805,-0.045,544032,
6/04/2022 11:00,12.8,12.81,12.79,12.8,-0.005,292192,
6/04/2022 12:00,12.8,12.81,12.77,12.79,-0.01,426740,
6/04/2022 13:00,12.795,12.8,12.77,12.775,-0.015,249859,
6/04/2022 14:00,12.775,12.81,12.77,12.8,0.025,409050,
6/04/2022 15:00,12.8,12.8,12.76,12.765,-0.035,528657,
6/04/2022 16:00,12.75,12.75,12.75,12.75,-0.015,1061811,
7/04/2022 10:00,12.77,12.785,12.76,12.77,0.02,580169,
7/04/2022 11:00,12.77,12.77,12.76,12.77,0,209326,
7/04/2022 12:00,12.77,12.77,12.76,12.77,0,149903,
7/04/2022 13:00,12.77,12.77,12.76,12.77,0,49100,
7/04/2022 14:00,12.765,12.77,12.765,12.77,0,70534,
7/04/2022 15:00,12.765,12.77,12.75,12.76,-0.01,731139,
7/04/2022 16:00,12.74,12.74,12.74,12.74,-0.02,650529,
8/04/2022 10:00,12.77,12.79,12.76,12.79,0.05,246532,
8/04/2022 11:00,12.785,12.79,12.77,12.78,-0.01,49270,
8/04/2022 12:00,12.775,12.79,12.775,12.775,-0.005,26470,
8/04/2022 13:00,12.775,12.79,12.77,12.78,0.005,119839,
8/04/2022 14:00,12.78,12.78,12.77,12.78,0,24689,
8/04/2022 15:00,12.78,12.79,12.77,12.78,0,141168,
8/04/2022 16:00,12.78,12.78,12.78,12.78,0,127098,
Downloaded from Barchart.com as of 04-09-2022 07:41pm CDT,,,,,,,
