Symbol: PMV.AX,,,,,,Study: VOL,
Date Time,Open,High,Low,Close,Change,Volume,Open Interest
4/04/2022 10:00,26.9,27.11,26.73,27.07,0.19,25108,
4/04/2022 11:00,27.04,27.37,26.99,27.3,0.23,20360,
4/04/2022 12:00,27.31,27.39,27.1,27.18,-0.12,16032,
4/04/2022 13:00,27.16,27.26,27.03,27.24,0.06,20520,
4/04/2022 14:00,27.23,27.28,27.17,27.27,0.03,13665,
4/04/2022 15:00,27.27,27.28,27.09,27.12,-0.15,31049,
4/04/2022 16:00,27.17,27.17,27.17,27.17,0.05,45890,
5/04/2022 10:00,27.15,27.49,26.93,27.24,0.07,21239,
5/04/2022 11:00,27.25,27.63,27.16,27.57,0.33,10545,
5/04/2022 12:00,27.58,27.77,27.53,27.68,0.11,17334,
5/04/2022 13:00,27.665,27.71,27.55,27.64,-0.04,18410,
5/04/2022 14:00,27.63,27.63,27.13,27.13,-0.51,21258,
5/04/2022 15:00,27.11,27.21,27.09,27.1,-0.03,33255,
5/04/2022 16:00,27.1,27.15,27.1,27.15,0.05,55445,
6/04/2022 10:00,26.84,26.92,26.6,26.73,-0.42,25654,
6/04/2022 11:00,26.72,26.97,26.71,26.87,0.14,12648,
6/04/2022 12:00,26.86,26.91,26.775,26.85,-0.02,6453,
6/04/2022 13:00,26.85,26.85,26.72,26.72,-0.13,6188,
6/04/2022 14:00,26.74,26.92,26.73,26.81,0.09,12325,
6/04/2022 15:00,26.82,26.85,26.715,26.81,0,16043,
6/04/2022 16:00,26.86,26.86,26.86,26.86,0.05,35978,
7/04/2022 10:00,26.49,26.58,26.3,26.41,-0.45,22856,
7/04/2022 11:00,26.4,26.47,26.34,26.37,-0.04,13659,
7/04/2022 12:00,26.37,26.38,26.18,26.23,-0.14,9459,
7/04/2022 13:00,26.24,26.3,26.18,26.25,0.02,7861,
7/04/2022 14:00,26.25,26.26,26.12,26.19,-0.06,19060,
7/04/2022 15:00,26.18,26.25,26.14,26.18,-0.01,14194,
7/04/2022 16:00,26.13,26.13,26.13,26.13,-0.05,33840,
8/04/2022 10:00,25.94,26.24,25.67,26,-0.13,26972,
8/04/2022 11:00,26,26.24,26,26.17,0.17,9382,
8/04/2022 12:00,26.17,26.22,26.01,26.04,-0.13,8741,
8/04/2022 13:00,26.055,26.14,26,26.02,-0.02,8781,
8/04/2022 14:00,26.04,26.06,25.95,26.03,0.01,6069,
8/04/2022 15:00,26.03,26.1,25.99,26.02,-0.01,9682,
8/04/2022 16:00,26.01,26.01,26.01,26.01,-0.01,28631,
Downloaded from Barchart.com as of 04-09-2022 07:44pm CDT,,,,,,,
